model,heldout_position,top1,top3,one_to_one,mean_rank
layer_structure_only,1,0.09523809523809523,0.5238095238095238,0.14285714285714285,4.666666666666667
layer_structure_only,2,0.2857142857142857,0.5714285714285714,0.19047619047619047,3.761904761904762
layer_structure_only,3,0.23809523809523808,0.5714285714285714,0.19047619047619047,4.142857142857143
layer_structure_only,4,0.47619047619047616,0.6190476190476191,0.38095238095238093,4.666666666666667
full_seven_layer,1,0.2857142857142857,0.7142857142857143,0.23809523809523808,3.5238095238095237
full_seven_layer,2,0.38095238095238093,0.8571428571428571,0.6190476190476191,2.619047619047619
full_seven_layer,3,0.38095238095238093,0.7142857142857143,0.3333333333333333,2.9047619047619047
full_seven_layer,4,0.47619047619047616,0.7619047619047619,0.5238095238095238,3.1904761904761907
