D,E,F,G,D_new,E_new,F_new,G_new,new_active_compartments,observed_allocation
E:2,F:3 G:2,D:2 E:1,F:1,20,43,27,19,109,0
E:2,F:3 G:2,D:2 F:1,E:1,20,43,28,14,105,0
E:2,F:3 G:2,E:1 F:1,D:2,20,43,25,22,110,0
F:1,D:2 E:1,E:2 F:3,G:2,16,40,33,17,106,0
F:1,D:2 E:1,E:2 G:2,F:3,16,40,33,21,110,0
F:1,D:2 E:1,F:3 G:2,E:2,16,40,32,21,109,0
F:1,D:2 E:2,E:1 F:3,G:2,16,45,30,17,108,0
F:1,D:2 E:2,E:1 G:2,F:3,16,45,25,21,107,0
F:1,D:2 E:2,F:3 G:2,E:1,16,45,32,14,107,0
F:1,D:2 F:3,E:1 E:2,G:2,16,45,29,17,107,0
F:1,D:2 F:3,E:1 G:2,E:2,16,45,25,21,107,0
F:1,D:2 F:3,E:2 G:2,E:1,16,45,33,14,108,0
F:1,D:2 G:2,E:1 E:2,F:3,16,44,29,21,110,0
F:1,D:2 G:2,E:1 F:3,E:2,16,44,30,21,111,0
F:1,D:2 G:2,E:2 F:3,E:1,16,44,33,14,107,0
F:1,E:1 E:2,D:2 F:3,G:2,16,36,34,17,103,0
F:1,E:1 E:2,D:2 G:2,F:3,16,36,31,21,104,0
F:1,E:1 E:2,F:3 G:2,D:2,16,36,32,22,106,0
F:1,E:1 F:3,D:2 E:2,G:2,16,41,35,17,109,0
F:1,E:1 F:3,D:2 G:2,E:2,16,41,31,21,109,0
F:1,E:1 F:3,E:2 G:2,D:2,16,41,33,22,112,0
F:1,E:1 G:2,D:2 E:2,F:3,16,36,35,21,108,0
F:1,E:1 G:2,D:2 F:3,E:2,16,36,34,21,107,0
F:1,E:1 G:2,E:2 F:3,D:2,16,36,33,22,107,0
F:1,E:2 F:3,D:2 E:1,G:2,16,43,27,17,103,0
F:1,E:2 F:3,D:2 G:2,E:1,16,43,31,14,104,0
F:1,E:2 F:3,E:1 G:2,D:2,16,43,25,22,106,0
F:1,E:2 G:2,D:2 E:1,F:3,16,42,27,21,106,0
F:1,E:2 G:2,D:2 F:3,E:1,16,42,34,14,106,0
F:1,E:2 G:2,E:1 F:3,D:2,16,42,30,22,110,0
F:1,F:3 G:2,D:2 E:1,E:2,16,43,27,21,107,0
F:1,F:3 G:2,D:2 E:2,E:1,16,43,35,14,108,0
F:1,F:3 G:2,E:1 E:2,D:2,16,43,29,22,110,0
F:3,D:2 E:1,E:2 F:1,G:2,21,40,31,17,109,0
F:3,D:2 E:1,E:2 G:2,F:1,21,40,33,19,113,0
F:3,D:2 E:1,F:1 G:2,E:2,21,40,29,21,111,0
F:3,D:2 E:2,E:1 F:1,G:2,21,45,25,17,108,0
F:3,D:2 E:2,E:1 G:2,F:1,21,45,25,19,110,0
F:3,D:2 E:2,F:1 G:2,E:1,21,45,29,14,109,0
F:3,D:2 F:1,E:1 E:2,G:2,21,42,29,17,109,0
F:3,D:2 F:1,E:1 G:2,E:2,21,42,25,21,109,0
F:3,D:2 F:1,E:2 G:2,E:1,21,42,33,14,110,0
F:3,D:2 G:2,E:1 E:2,F:1,21,44,29,19,113,0
F:3,D:2 G:2,E:1 F:1,E:2,21,44,25,21,111,0
F:3,D:2 G:2,E:2 F:1,E:1,21,44,31,14,110,0
F:3,E:1 E:2,D:2 F:1,G:2,21,36,28,17,102,0
F:3,E:1 E:2,D:2 G:2,F:1,21,36,31,19,107,0
F:3,E:1 E:2,F:1 G:2,D:2,21,36,29,22,108,0
F:3,E:1 F:1,D:2 E:2,G:2,21,38,35,17,111,0
F:3,E:1 F:1,D:2 G:2,E:2,21,38,31,21,111,0
F:3,E:1 F:1,E:2 G:2,D:2,21,38,33,22,114,0
F:3,E:1 G:2,D:2 E:2,F:1,21,36,35,19,111,0
F:3,E:1 G:2,D:2 F:1,E:2,21,36,28,21,106,0
F:3,E:1 G:2,E:2 F:1,D:2,21,36,31,22,110,0
F:3,E:2 F:1,D:2 E:1,G:2,21,42,27,17,107,0
F:3,E:2 F:1,D:2 G:2,E:1,21,42,31,14,108,0
F:3,E:2 F:1,E:1 G:2,D:2,21,42,25,22,110,0
F:3,E:2 G:2,D:2 E:1,F:1,21,42,27,19,109,0
F:3,E:2 G:2,D:2 F:1,E:1,21,42,28,14,105,0
F:3,E:2 G:2,E:1 F:1,D:2,21,42,25,22,110,0
F:3,F:1 G:2,D:2 E:1,E:2,21,44,27,21,113,0
F:3,F:1 G:2,D:2 E:2,E:1,21,44,35,14,114,0
F:3,F:1 G:2,E:1 E:2,D:2,21,44,29,22,116,0
G:2,D:2 E:1,E:2 F:1,F:3,17,40,31,21,109,0
G:2,D:2 E:1,E:2 F:3,F:1,17,40,33,19,109,0
G:2,D:2 E:1,F:1 F:3,E:2,17,40,29,21,107,0
G:2,D:2 E:2,E:1 F:1,F:3,17,45,25,21,108,0
G:2,D:2 E:2,E:1 F:3,F:1,17,45,30,19,111,0
G:2,D:2 E:2,F:1 F:3,E:1,17,45,29,14,105,0
G:2,D:2 F:1,E:1 E:2,F:3,17,42,29,21,109,0
