run,ngram,top1,one_to_one,top3,top5,mean_rank,heldout_positions
1,2,0.19047619047619047,0.19047619047619047,0.5714285714285714,0.6190476190476191,4.761904761904762,113344113133231134322
1,3,0.19047619047619047,0.14285714285714285,0.42857142857142855,0.5714285714285714,5.619047619047619,113344113133231134322
1,4,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.47619047619047616,6.904761904761905,113344113133231134322
1,5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,6.428571428571429,113344113133231134322
2,2,0.3333333333333333,0.23809523809523808,0.6666666666666666,0.8571428571428571,3.761904761904762,434323331441332311211
2,3,0.19047619047619047,0.19047619047619047,0.6190476190476191,0.6190476190476191,4.380952380952381,434323331441332311211
2,4,0.3333333333333333,0.2857142857142857,0.5238095238095238,0.6190476190476191,5.142857142857143,434323331441332311211
2,5,0.14285714285714285,0.23809523809523808,0.42857142857142855,0.47619047619047616,6.761904761904762,434323331441332311211
3,2,0.42857142857142855,0.23809523809523808,0.5238095238095238,0.7142857142857143,4.523809523809524,441123214343314123223
3,3,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.6666666666666666,4.380952380952381,441123214343314123223
3,4,0.23809523809523808,0.2857142857142857,0.5238095238095238,0.7142857142857143,4.380952380952381,441123214343314123223
3,5,0.3333333333333333,0.19047619047619047,0.5238095238095238,0.7142857142857143,4.904761904761905,441123214343314123223
4,2,0.2857142857142857,0.38095238095238093,0.6190476190476191,0.7142857142857143,5.0,124332324334111242434
4,3,0.38095238095238093,0.2857142857142857,0.6190476190476191,0.7619047619047619,5.238095238095238,124332324334111242434
4,4,0.2857142857142857,0.09523809523809523,0.47619047619047616,0.5714285714285714,5.904761904761905,124332324334111242434
4,5,0.14285714285714285,0.047619047619047616,0.42857142857142855,0.5238095238095238,7.095238095238095,124332324334111242434
5,2,0.38095238095238093,0.5714285714285714,0.7142857142857143,0.8571428571428571,2.8095238095238093,342122313113231433242
5,3,0.23809523809523808,0.09523809523809523,0.6190476190476191,0.7142857142857143,3.2857142857142856,342122313113231433242
5,4,0.14285714285714285,0.09523809523809523,0.42857142857142855,0.5238095238095238,4.857142857142857,342122313113231433242
5,5,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.5714285714285714,5.809523809523809,342122313113231433242
6,2,0.2857142857142857,0.14285714285714285,0.5238095238095238,0.7619047619047619,5.095238095238095,123413142412233134341
6,3,0.19047619047619047,0.09523809523809523,0.5714285714285714,0.6190476190476191,5.142857142857143,123413142412233134341
6,4,0.19047619047619047,0.14285714285714285,0.47619047619047616,0.5238095238095238,6.190476190476191,123413142412233134341
6,5,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.38095238095238093,7.809523809523809,123413142412233134341
7,2,0.19047619047619047,0.19047619047619047,0.5238095238095238,0.8095238095238095,3.9047619047619047,211134211131234414334
7,3,0.2857142857142857,0.19047619047619047,0.42857142857142855,0.5238095238095238,5.285714285714286,211134211131234414334
7,4,0.19047619047619047,0.14285714285714285,0.2857142857142857,0.5714285714285714,6.0476190476190474,211134211131234414334
7,5,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.42857142857142855,7.095238095238095,211134211131234414334
8,2,0.19047619047619047,0.23809523809523808,0.47619047619047616,0.6666666666666666,5.285714285714286,144144112322143242341
8,3,0.14285714285714285,0.23809523809523808,0.5714285714285714,0.7619047619047619,4.9523809523809526,144144112322143242341
8,4,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.6666666666666666,6.0,144144112322143242341
8,5,0.19047619047619047,0.14285714285714285,0.23809523809523808,0.47619047619047616,7.857142857142857,144144112322143242341
9,2,0.2857142857142857,0.14285714285714285,0.47619047619047616,0.6666666666666666,5.333333333333333,133213214331442444221
9,3,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.6666666666666666,5.333333333333333,133213214331442444221
9,4,0.23809523809523808,0.23809523809523808,0.47619047619047616,0.6190476190476191,5.714285714285714,133213214331442444221
9,5,0.23809523809523808,0.09523809523809523,0.38095238095238093,0.47619047619047616,7.809523809523809,133213214331442444221
10,2,0.3333333333333333,0.23809523809523808,0.6190476190476191,0.7619047619047619,3.9523809523809526,323313231323232442121
10,3,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.6190476190476191,4.666666666666667,323313231323232442121
10,4,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.47619047619047616,5.333333333333333,323313231323232442121
10,5,0.23809523809523808,0.2857142857142857,0.42857142857142855,0.6190476190476191,5.904761904761905,323313231323232442121
11,2,0.3333333333333333,0.19047619047619047,0.6190476190476191,0.7619047619047619,4.285714285714286,414413124214334211413
11,3,0.23809523809523808,0.23809523809523808,0.47619047619047616,0.7142857142857143,4.666666666666667,414413124214334211413
11,4,0.2857142857142857,0.23809523809523808,0.42857142857142855,0.5238095238095238,5.380952380952381,414413124214334211413
11,5,0.19047619047619047,0.09523809523809523,0.38095238095238093,0.42857142857142855,6.571428571428571,414413124214334211413
12,2,0.3333333333333333,0.19047619047619047,0.7142857142857143,0.8095238095238095,3.380952380952381,211222441313114111421
12,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.142857142857143,211222441313114111421
12,4,0.23809523809523808,0.19047619047619047,0.42857142857142855,0.5238095238095238,5.285714285714286,211222441313114111421
12,5,0.09523809523809523,0.19047619047619047,0.38095238095238093,0.5714285714285714,6.0476190476190474,211222441313114111421
13,2,0.38095238095238093,0.42857142857142855,0.7142857142857143,0.7619047619047619,3.8095238095238093,241444223233114413232
13,3,0.3333333333333333,0.38095238095238093,0.5238095238095238,0.6190476190476191,4.9523809523809526,241444223233114413232
13,4,0.19047619047619047,0.3333333333333333,0.47619047619047616,0.6190476190476191,5.666666666666667,241444223233114413232
13,5,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.6666666666666666,5.809523809523809,241444223233114413232
14,2,0.23809523809523808,0.2857142857142857,0.6190476190476191,0.7142857142857143,5.095238095238095,123123331113132423422
14,3,0.23809523809523808,0.23809523809523808,0.47619047619047616,0.6190476190476191,5.380952380952381,123123331113132423422
14,4,0.23809523809523808,0.23809523809523808,0.38095238095238093,0.5238095238095238,6.714285714285714,123123331113132423422
14,5,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.47619047619047616,7.0,123123331113132423422
15,2,0.2857142857142857,0.23809523809523808,0.7619047619047619,1.0,2.4761904761904763,312224321123244211432
15,3,0.3333333333333333,0.23809523809523808,0.7142857142857143,0.7619047619047619,3.0476190476190474,312224321123244211432
15,4,0.38095238095238093,0.2857142857142857,0.5238095238095238,0.7142857142857143,3.6666666666666665,312224321123244211432
15,5,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.6666666666666666,5.476190476190476,312224321123244211432
16,2,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.7619047619047619,4.238095238095238,144421141412432221241
16,3,0.2857142857142857,0.2857142857142857,0.6190476190476191,0.7142857142857143,4.428571428571429,144421141412432221241
16,4,0.19047619047619047,0.09523809523809523,0.2857142857142857,0.5238095238095238,6.761904761904762,144421141412432221241
16,5,0.09523809523809523,0.3333333333333333,0.3333333333333333,0.38095238095238093,7.333333333333333,144421141412432221241
17,2,0.19047619047619047,0.23809523809523808,0.6190476190476191,0.8095238095238095,3.8095238095238093,324421331333114143331
17,3,0.3333333333333333,0.23809523809523808,0.6666666666666666,0.7619047619047619,3.9523809523809526,324421331333114143331
17,4,0.23809523809523808,0.23809523809523808,0.5238095238095238,0.5714285714285714,4.761904761904762,324421331333114143331
17,5,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.47619047619047616,6.333333333333333,324421331333114143331
18,2,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.8571428571428571,3.0,432142141213231134423
18,3,0.23809523809523808,0.14285714285714285,0.5714285714285714,0.7619047619047619,3.6666666666666665,432142141213231134423
18,4,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,4.904761904761905,432142141213231134423
18,5,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.5238095238095238,6.428571428571429,432142141213231134423
19,2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8571428571428571,3.1904761904761907,332431121131322232424
19,3,0.19047619047619047,0.14285714285714285,0.6190476190476191,0.7619047619047619,4.0476190476190474,332431121131322232424
19,4,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.5714285714285714,5.285714285714286,332431121131322232424
19,5,0.2857142857142857,0.047619047619047616,0.42857142857142855,0.47619047619047616,6.428571428571429,332431121131322232424
20,2,0.23809523809523808,0.23809523809523808,0.5714285714285714,0.6666666666666666,5.857142857142857,122133111341132133124
20,3,0.19047619047619047,0.14285714285714285,0.5714285714285714,0.5714285714285714,5.333333333333333,122133111341132133124
20,4,0.14285714285714285,0.23809523809523808,0.42857142857142855,0.5238095238095238,6.666666666666667,122133111341132133124
20,5,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.5238095238095238,6.809523809523809,122133111341132133124
21,2,0.2857142857142857,0.19047619047619047,0.7619047619047619,0.8571428571428571,3.5238095238095237,212123321343224233134
21,3,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,3.5714285714285716,212123321343224233134
21,4,0.3333333333333333,0.23809523809523808,0.42857142857142855,0.6666666666666666,4.428571428571429,212123321343224233134
21,5,0.3333333333333333,0.2857142857142857,0.38095238095238093,0.5714285714285714,5.619047619047619,212123321343224233134
