budget,run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
475,1,183.0,132.0,3.925925925925926,1.7177723911447131,0.050505050505050504,0.013468013468013467,0.053244551475384184,0.12684648724366027,0.1565308041517388,1.0,0.03125,0.0
475,2,193.0,139.0,3.9562289562289563,1.6518849313335733,0.05387205387205387,0.003367003367003367,0.05030402191792179,0.13183290170233314,0.13779312724246384,1.0,0.0625,0.0
475,3,181.0,135.0,3.7643097643097643,1.6932244491972124,0.06060606060606061,0.010101010101010102,0.07708709833853224,0.15829275310969435,0.18496948718614536,1.0,0.125,0.0
475,4,176.0,123.0,3.8181818181818183,1.6269839670061321,0.03367003367003367,0.010101010101010102,0.07158138551576024,0.1444070078414423,0.18232924816535157,1.0,0.03125,0.0
475,5,187.0,140.0,3.760942760942761,1.5933647518424416,0.050505050505050504,0.013468013468013467,0.0677438974621144,0.1424660488637248,0.1353616365777996,1.0,0.0625,0.0
475,6,182.0,129.0,3.750841750841751,1.6732821127440698,0.07407407407407407,0.006734006734006734,0.06859229568768078,0.1504655555090413,0.16163439304384983,1.0,0.1875,0.0
475,7,186.0,137.0,3.936026936026936,1.689524579777328,0.05723905723905724,0.006734006734006734,0.06370181107039528,0.14720631910590917,0.1784399553959212,1.0,0.125,0.0
475,8,180.0,125.0,3.8282828282828283,1.6373609630668389,0.07744107744107744,0.003367003367003367,0.06874571884171253,0.17343802568790442,0.15087829199407957,1.0,0.03125,0.0
475,9,184.0,137.0,3.774410774410774,1.723169034511726,0.06397306397306397,0.016835016835016835,0.06459382682174653,0.15539851877624655,0.18737025839287175,1.0,0.09375,0.0
475,10,182.0,133.0,3.7037037037037037,1.6308535348938742,0.08080808080808081,0.003367003367003367,0.06535184144937553,0.1545466121961658,0.16536276023893917,1.0,0.125,0.0
475,11,189.0,136.0,3.973063973063973,1.6450973094390522,0.05387205387205387,0.010101010101010102,0.05829117825394974,0.13717763209444817,0.17633296773886212,1.0,0.03125,0.0
475,12,207.0,160.0,4.161616161616162,1.707817659782625,0.04713804713804714,0.010101010101010102,0.05867097544747153,0.13738448066182465,0.14454489066200224,1.0,0.0625,0.0
475,13,196.0,142.0,4.016835016835016,1.68066427555416,0.05723905723905724,0.010101010101010102,0.07179805822693693,0.1530297984982728,0.17210917503722178,1.0,0.09375,0.0
475,14,180.0,134.0,3.7777777777777777,1.6548401952543348,0.06734006734006734,0.010101010101010102,0.07007744946960306,0.15504067239066252,0.16506358134818297,1.0,0.03125,0.0
475,15,183.0,134.0,3.824915824915825,1.6173466474753457,0.050505050505050504,0.006734006734006734,0.05808811958839436,0.11816712829170498,0.16302982352493825,1.0,0.09375,0.0
475,16,183.0,128.0,3.791245791245791,1.6361419256489103,0.06397306397306397,0.013468013468013467,0.05650578928573542,0.1480218658653977,0.15365321565464551,1.0,0.0625,0.0
475,17,185.0,133.0,3.9023569023569022,1.713649255714426,0.050505050505050504,0.010101010101010102,0.06631485403518385,0.14523783999014264,0.1466415786239123,1.0,0.0625,0.0
475,18,185.0,132.0,3.8417508417508417,1.7306528317705585,0.06734006734006734,0.013468013468013467,0.07148859075117721,0.15740644563918604,0.14843588988412934,1.0,0.125,0.0
475,19,182.0,131.0,3.993265993265993,1.6247108336205387,0.030303030303030304,0.020202020202020204,0.06489221918341974,0.15307334570512704,0.16981075660154696,1.0,0.0,0.0
