budget,metric,mean,p2_5,p97_5
475,word_types,186.352,172.0,202.0
475,hapax_legomena,136.8,119.225,154.775
475,mean_word_length,3.8696700336700336,3.680892255892256,4.056481481481481
475,word_length_sd,1.6750971988890355,1.573427669173056,1.7788799757495597
475,one_character_rate,0.05684848484848484,0.030303030303030304,0.08417508417508418
475,eight_plus_rate,0.011703703703703702,0.003367003367003367,0.026936026936026935
475,bigram_jsd,0.06245301841769526,0.04794770227554042,0.07697526292890781
475,trigram_jsd,0.14439578161069325,0.11658968043887699,0.17343192879482397
475,word_boundary_jsd,0.15903604901844978,0.1253743503611176,0.19373465192645276
475,paragraph_start_gallows,1.0,1.0,1.0
475,neutral_restart_gallows,0.064,0.0,0.15625
475,dead_ends,0.0,0.0,0.0
500,word_types,187.816,173.45,201.0
500,hapax_legomena,137.6,120.0,154.55
500,mean_word_length,3.8923232323232324,3.6925084175084177,4.093518518518518
500,word_length_sd,1.672842680245866,1.5586354643032574,1.7747405734666035
500,one_character_rate,0.05807407407407408,0.03367003367003367,0.08417508417508418
500,eight_plus_rate,0.012228956228956228,0.0007575757575757593,0.026178451178451197
500,bigram_jsd,0.05620646900587242,0.04411207959992353,0.06797476645775224
500,trigram_jsd,0.13774155719779946,0.11538155488859915,0.16392408292677238
500,word_boundary_jsd,0.1489455991616672,0.11722145858759823,0.18861382587791334
500,paragraph_start_gallows,1.0,1.0,1.0
500,neutral_restart_gallows,0.0515,0.0,0.125
500,dead_ends,0.0,0.0,0.0
525,word_types,185.22,171.225,201.55
525,hapax_legomena,133.908,116.0,153.775
525,mean_word_length,3.88420202020202,3.680892255892256,4.108838383838384
525,word_length_sd,1.651310840094487,1.5417876809686712,1.7697496466099674
525,one_character_rate,0.0585993265993266,0.037037037037037035,0.08417508417508418
525,eight_plus_rate,0.01063973063973064,0.0,0.02356902356902357
525,bigram_jsd,0.0524643892889395,0.03982772315791101,0.0663594877965791
525,trigram_jsd,0.12996754315838818,0.10389015999271264,0.15146334351051435
525,word_boundary_jsd,0.1342858348337165,0.10417911126334779,0.16702705229202575
525,paragraph_start_gallows,1.0,1.0,1.0
525,neutral_restart_gallows,0.0435,0.0,0.125
525,dead_ends,0.0,0.0,0.0
550,word_types,190.416,175.675,205.775
550,hapax_legomena,138.528,120.225,157.0
550,mean_word_length,3.9846195286195285,3.8181818181818183,4.167592592592593
550,word_length_sd,1.6443557458889204,1.5319231133537492,1.7674562779232594
550,one_character_rate,0.050074074074074076,0.030303030303030304,0.07407407407407407
550,eight_plus_rate,0.010882154882154882,0.0,0.02356902356902357
550,bigram_jsd,0.04597385810269929,0.035819117970631156,0.05728413840009097
550,trigram_jsd,0.11757188915880804,0.09817932914293123,0.140844612178879
550,word_boundary_jsd,0.13179369284798245,0.10206941293159072,0.16499008940602333
550,paragraph_start_gallows,1.0,1.0,1.0
550,neutral_restart_gallows,0.038125,0.0,0.09375
550,dead_ends,0.0,0.0,0.0
575,word_types,189.532,176.0,203.775
575,hapax_legomena,137.14,119.0,155.0
575,mean_word_length,3.985939393939394,3.803619528619529,4.161616161616162
575,word_length_sd,1.6364941944365932,1.5434189209923093,1.734419950373869
