run,A2,HerbalA_outside_A2,VM_outside_HerbalA,Unattested,VM_total,Outside_A2_total,Generated_types,Hapax,A2_type_rate,HerbalA_type_rate,VM_type_rate
1,0.5185185185185185,0.14814814814814814,0.04713804713804714,0.28619528619528617,0.7138047138047138,0.19528619528619529,199.0,143.0,0.34673366834170855,0.5376884422110553,0.6030150753768844
2,0.5521885521885522,0.1750841750841751,0.04377104377104377,0.22895622895622897,0.7710437710437711,0.21885521885521886,183.0,126.0,0.3770491803278688,0.6065573770491803,0.6502732240437158
3,0.5723905723905723,0.17845117845117844,0.05387205387205387,0.19528619528619529,0.8047138047138047,0.23232323232323232,179.0,125.0,0.37988826815642457,0.6033519553072626,0.6815642458100558
4,0.5589225589225589,0.16498316498316498,0.04713804713804714,0.22895622895622897,0.7710437710437711,0.21212121212121213,187.0,131.0,0.3850267379679144,0.5935828877005348,0.6524064171122995
5,0.5757575757575758,0.15488215488215487,0.037037037037037035,0.23232323232323232,0.7676767676767676,0.1919191919191919,187.0,140.0,0.36363636363636365,0.5828877005347594,0.6363636363636364
6,0.5959595959595959,0.15488215488215487,0.026936026936026935,0.2222222222222222,0.7777777777777778,0.18181818181818182,180.0,126.0,0.4166666666666667,0.6222222222222222,0.6555555555555556
7,0.569023569023569,0.21548821548821548,0.05387205387205387,0.16161616161616163,0.8383838383838383,0.26936026936026936,178.0,116.0,0.42696629213483145,0.6853932584269663,0.7471910112359551
8,0.5151515151515151,0.21212121212121213,0.020202020202020204,0.25252525252525254,0.7474747474747475,0.23232323232323232,206.0,159.0,0.3592233009708738,0.6116504854368932,0.6407766990291263
9,0.5286195286195287,0.15824915824915825,0.05723905723905724,0.2558922558922559,0.7441077441077442,0.21548821548821548,184.0,126.0,0.3423913043478261,0.5543478260869565,0.625
10,0.5420875420875421,0.20202020202020202,0.04040404040404041,0.21548821548821548,0.7845117845117845,0.24242424242424243,179.0,120.0,0.37988826815642457,0.6145251396648045,0.6703910614525139
11,0.5521885521885522,0.14814814814814814,0.04377104377104377,0.2558922558922559,0.7441077441077442,0.1919191919191919,191.0,141.0,0.36649214659685864,0.5654450261780105,0.6230366492146597
12,0.5925925925925926,0.13804713804713806,0.04040404040404041,0.22895622895622897,0.7710437710437711,0.17845117845117844,184.0,129.0,0.41847826086956524,0.6086956521739131,0.6521739130434783
13,0.6094276094276094,0.15151515151515152,0.04040404040404041,0.19865319865319866,0.8013468013468014,0.1919191919191919,181.0,126.0,0.430939226519337,0.6187845303867403,0.6850828729281768
14,0.5589225589225589,0.19865319865319866,0.04377104377104377,0.19865319865319866,0.8013468013468014,0.24242424242424243,178.0,131.0,0.37640449438202245,0.6123595505617978,0.6741573033707865
15,0.5622895622895623,0.1919191919191919,0.026936026936026935,0.21885521885521886,0.7811447811447811,0.21885521885521886,183.0,125.0,0.3879781420765027,0.6338797814207651,0.6666666666666666
16,0.5387205387205387,0.19528619528619529,0.04040404040404041,0.2255892255892256,0.7744107744107744,0.2356902356902357,195.0,145.0,0.37435897435897436,0.6153846153846154,0.676923076923077
17,0.5925925925925926,0.16835016835016836,0.037037037037037035,0.20202020202020202,0.797979797979798,0.2053872053872054,177.0,124.0,0.4011299435028249,0.6214689265536724,0.672316384180791
18,0.5488215488215489,0.18518518518518517,0.04040404040404041,0.2255892255892256,0.7744107744107744,0.2255892255892256,188.0,132.0,0.39893617021276595,0.6276595744680851,0.6861702127659575
19,0.5117845117845118,0.15151515151515152,0.05387205387205387,0.2828282828282828,0.7171717171717171,0.2053872053872054,191.0,136.0,0.3507853403141361,0.5497382198952879,0.5968586387434555
20,0.5858585858585859,0.15824915824915825,0.03367003367003367,0.2222222222222222,0.7777777777777778,0.1919191919191919,183.0,133.0,0.3879781420765027,0.6065573770491803,0.6557377049180327
21,0.5151515151515151,0.19528619528619529,0.04377104377104377,0.24579124579124578,0.7542087542087542,0.23905723905723905,190.0,142.0,0.3526315789473684,0.5842105263157895,0.6421052631578947
22,0.5656565656565656,0.15824915824915825,0.03367003367003367,0.24242424242424243,0.7575757575757576,0.1919191919191919,189.0,134.0,0.3915343915343915,0.6031746031746031,0.6507936507936508
23,0.5555555555555556,0.18181818181818182,0.06060606060606061,0.20202020202020202,0.797979797979798,0.24242424242424243,187.0,135.0,0.3689839572192513,0.6096256684491979,0.6898395721925134
24,0.5286195286195287,0.15824915824915825,0.06060606060606061,0.25252525252525254,0.7474747474747475,0.21885521885521886,194.0,138.0,0.3556701030927835,0.5618556701030928,0.634020618556701
25,0.5521885521885522,0.20202020202020202,0.04040404040404041,0.2053872053872054,0.7946127946127947,0.24242424242424243,183.0,129.0,0.3825136612021858,0.644808743169399,0.7049180327868853
26,0.5622895622895623,0.1919191919191919,0.03367003367003367,0.21212121212121213,0.7878787878787878,0.2255892255892256,184.0,138.0,0.358695652173913,0.6086956521739131,0.6630434782608695
27,0.5589225589225589,0.1717171717171717,0.037037037037037035,0.23232323232323232,0.7676767676767676,0.20875420875420875,181.0,127.0,0.35911602209944754,0.6022099447513812,0.6574585635359116
28,0.5656565656565656,0.19865319865319866,0.037037037037037035,0.19865319865319866,0.8013468013468014,0.2356902356902357,184.0,136.0,0.3804347826086957,0.657608695652174,0.7010869565217391
29,0.5151515151515151,0.20875420875420875,0.050505050505050504,0.2255892255892256,0.7744107744107744,0.25925925925925924,197.0,144.0,0.38071065989847713,0.5939086294416244,0.6700507614213198
30,0.6094276094276094,0.15151515151515152,0.04377104377104377,0.19528619528619529,0.8047138047138047,0.19528619528619529,172.0,114.0,0.4127906976744186,0.622093023255814,0.6802325581395349
31,0.5353535353535354,0.16835016835016836,0.03367003367003367,0.26262626262626265,0.7373737373737373,0.20202020202020202,195.0,142.0,0.35384615384615387,0.5743589743589743,0.6153846153846154
32,0.531986531986532,0.2053872053872054,0.03367003367003367,0.22895622895622897,0.7710437710437711,0.23905723905723905,191.0,143.0,0.3717277486910995,0.6230366492146597,0.6649214659685864
33,0.5723905723905723,0.18518518518518517,0.026936026936026935,0.21548821548821548,0.7845117845117845,0.21212121212121213,181.0,129.0,0.3812154696132597,0.6353591160220995,0.6795580110497238
34,0.5286195286195287,0.18855218855218855,0.04377104377104377,0.23905723905723905,0.7609427609427609,0.23232323232323232,188.0,133.0,0.3776595744680851,0.6063829787234043,0.6542553191489362
35,0.5757575757575758,0.16161616161616163,0.04040404040404041,0.2222222222222222,0.7777777777777778,0.20202020202020202,186.0,133.0,0.41397849462365593,0.6182795698924731,0.6720430107526881
36,0.5454545454545454,0.17845117845117844,0.03367003367003367,0.24242424242424243,0.7575757575757576,0.21212121212121213,186.0,134.0,0.3602150537634409,0.5860215053763441,0.6344086021505376
37,0.5151515151515151,0.17845117845117844,0.050505050505050504,0.2558922558922559,0.7441077441077442,0.22895622895622897,198.0,147.0,0.3434343434343434,0.5757575757575758,0.6313131313131313
38,0.5050505050505051,0.1750841750841751,0.05387205387205387,0.265993265993266,0.734006734006734,0.22895622895622897,202.0,150.0,0.3564356435643564,0.5643564356435643,0.6336633663366337
39,0.5218855218855218,0.21885521885521886,0.050505050505050504,0.20875420875420875,0.7912457912457912,0.26936026936026936,192.0,143.0,0.3802083333333333,0.6197916666666666,0.6822916666666666
40,0.46464646464646464,0.21212121212121213,0.04713804713804714,0.2760942760942761,0.7239057239057239,0.25925925925925924,196.0,145.0,0.33163265306122447,0.5663265306122449,0.6275510204081632
41,0.5723905723905723,0.18181818181818182,0.037037037037037035,0.20875420875420875,0.7912457912457912,0.21885521885521886,185.0,134.0,0.3891891891891892,0.6270270270270271,0.6756756756756757
42,0.5521885521885522,0.15151515151515152,0.030303030303030304,0.265993265993266,0.734006734006734,0.18181818181818182,190.0,142.0,0.38421052631578945,0.5684210526315789,0.6
43,0.5117845117845118,0.17845117845117844,0.06060606060606061,0.24915824915824916,0.7508417508417509,0.23905723905723905,192.0,137.0,0.3541666666666667,0.5729166666666666,0.6510416666666666
44,0.5454545454545454,0.16161616161616163,0.050505050505050504,0.24242424242424243,0.7575757575757576,0.21212121212121213,189.0,137.0,0.35978835978835977,0.582010582010582,0.6507936507936508
45,0.5286195286195287,0.19528619528619529,0.04377104377104377,0.23232323232323232,0.7676767676767676,0.23905723905723905,194.0,144.0,0.35051546391752575,0.5876288659793815,0.654639175257732
46,0.468013468013468,0.19528619528619529,0.05723905723905724,0.27946127946127947,0.7205387205387206,0.25252525252525254,206.0,155.0,0.3155339805825243,0.5436893203883495,0.616504854368932
47,0.5555555555555556,0.14814814814814814,0.04040404040404041,0.2558922558922559,0.7441077441077442,0.18855218855218855,189.0,138.0,0.38095238095238093,0.5661375661375662,0.6190476190476191
48,0.5723905723905723,0.14814814814814814,0.04040404040404041,0.23905723905723905,0.7609427609427609,0.18855218855218855,184.0,134.0,0.3695652173913043,0.5815217391304348,0.6358695652173914
49,0.5488215488215489,0.17845117845117844,0.05387205387205387,0.21885521885521886,0.7811447811447811,0.23232323232323232,189.0,133.0,0.36507936507936506,0.5978835978835979,0.6613756613756614
50,0.6060606060606061,0.13468013468013468,0.04377104377104377,0.21548821548821548,0.7845117845117845,0.17845117845117844,181.0,123.0,0.425414364640884,0.6077348066298343,0.6740331491712708
