metric,paper_value,fresh_value,fresh_minus_paper,absolute_difference
A2,0.55,0.5503501683501684,0.0003501683501683228,0.0003501683501683228
HerbalA_outside_A2,0.1752,0.17465252525252525,-0.000547474747474741,0.000547474747474741
VM_outside_HerbalA,0.0453,0.0455016835016835,0.0002016835016835014,0.0002016835016835014
Unattested,0.2295,0.22949562289562292,-4.3771043770901574e-06,4.3771043770901574e-06
VM_total,0.7705,0.7705043771043771,4.377104377173424e-06,4.377104377173424e-06
Outside_A2_total,0.2205,0.22015420875420877,-0.00034579124579123266,0.00034579124579123266
