run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
1,178.0,119.0,4.0,1.6184957891599903,0.037037037037037035,0.010101010101010102,0.04448085214813723,0.11176674351929763,0.09118503437561587,1.0,0.0625,0.0
2,190.0,137.0,4.043771043771044,1.568235810395444,0.04040404040404041,0.013468013468013467,0.03703694907616805,0.10737892882606542,0.12696966134344748,1.0,0.09375,0.0
3,184.0,135.0,3.9393939393939394,1.6564424689353272,0.037037037037037035,0.010101010101010102,0.04189747995293684,0.11400022519476384,0.11514083293449792,1.0,0.09375,0.0
4,182.0,128.0,3.973063973063973,1.6552991243861763,0.05387205387205387,0.013468013468013467,0.04074865860510617,0.10872227064276936,0.11581599184828668,1.0,0.0,0.0
5,188.0,130.0,3.946127946127946,1.6362250706874915,0.06060606060606061,0.006734006734006734,0.03536661002264814,0.10401374475987438,0.10294861841305,1.0,0.0,0.0
6,192.0,140.0,4.1447811447811445,1.6358508847341675,0.04040404040404041,0.016835016835016835,0.034901803664094205,0.0921054468980328,0.11184393716308666,1.0,0.09375,0.0
7,198.0,159.0,4.161616161616162,1.6353033102886936,0.020202020202020204,0.016835016835016835,0.03492616516704183,0.09375095006469233,0.13518701729761293,1.0,0.03125,0.0
8,177.0,123.0,3.8383838383838382,1.5376776667679248,0.05387205387205387,0.010101010101010102,0.03864297046346458,0.11344674069726274,0.10194919314325221,1.0,0.0,0.0
9,187.0,135.0,4.074074074074074,1.6680503048256237,0.026936026936026935,0.013468013468013467,0.034174382986675654,0.0921948432546798,0.12320289932725356,1.0,0.0,0.0
10,181.0,123.0,3.855218855218855,1.5750307685246543,0.03367003367003367,0.013468013468013467,0.04421078488822116,0.10913294425259802,0.10177860061826657,1.0,0.0,0.0
11,190.0,143.0,4.0673400673400675,1.6418897696457382,0.03367003367003367,0.016835016835016835,0.03738707458643674,0.10623897289487431,0.1213785346700475,1.0,0.0,0.0
12,175.0,123.0,3.9494949494949494,1.5744620418908053,0.03367003367003367,0.010101010101010102,0.04099899686801029,0.10946071306507302,0.12065816253650971,1.0,0.125,0.0
13,207.0,159.0,4.178451178451178,1.605485218348956,0.02356902356902357,0.003367003367003367,0.04129190581354649,0.10704832871229007,0.12606570956551144,1.0,0.1875,0.0
14,204.0,155.0,4.094276094276094,1.665009549279771,0.04040404040404041,0.013468013468013467,0.03554297814719457,0.1044664193005805,0.1237560482970157,1.0,0.0,0.0
15,184.0,134.0,3.962962962962963,1.579106631243442,0.030303030303030304,0.003367003367003367,0.04891726432552382,0.11608282214679011,0.13340560555561495,1.0,0.03125,0.0
16,193.0,146.0,4.057239057239057,1.624752699158868,0.04377104377104377,0.006734006734006734,0.0402210925635617,0.12179158230668458,0.1095333035477187,1.0,0.03125,0.0
17,194.0,142.0,4.047138047138047,1.648731853592552,0.04377104377104377,0.016835016835016835,0.03712212413473847,0.09822436362773994,0.10926691571837646,1.0,0.0,0.0
18,192.0,134.0,4.107744107744108,1.557594826954964,0.037037037037037035,0.006734006734006734,0.03540536351903247,0.09771500248813794,0.10882091136759395,1.0,0.03125,0.0
19,191.0,145.0,3.983164983164983,1.6277432942696508,0.037037037037037035,0.016835016835016835,0.03989112088033347,0.10066811087754665,0.11891669242139308,1.0,0.03125,0.0
20,184.0,134.0,4.05050505050505,1.6249759638133499,0.030303030303030304,0.020202020202020204,0.03183826204765045,0.10717987481257091,0.10681422119863401,1.0,0.0625,0.0
21,184.0,134.0,4.006734006734007,1.5699048117003052,0.04040404040404041,0.010101010101010102,0.03215666962328383,0.10002523017008572,0.1217110514745191,1.0,0.03125,0.0
22,191.0,135.0,4.090909090909091,1.5854403360188627,0.02356902356902357,0.020202020202020204,0.036348116100366146,0.08895270585514865,0.10979180462937788,1.0,0.0625,0.0
23,191.0,140.0,4.016835016835016,1.5471444587198566,0.04040404040404041,0.006734006734006734,0.038111515247846145,0.10773018719188067,0.09634203798136923,1.0,0.03125,0.0
24,190.0,141.0,4.047138047138047,1.6790851157880096,0.05723905723905724,0.013468013468013467,0.037567653046075296,0.10683514900842604,0.09314551953570142,1.0,0.0,0.0
25,183.0,132.0,4.047138047138047,1.6052733672607262,0.02356902356902357,0.013468013468013467,0.0370957739278657,0.1151074370562236,0.11881306633478556,1.0,0.0,0.0
26,185.0,136.0,3.993265993265993,1.576325834972513,0.037037037037037035,0.006734006734006734,0.04125665009166611,0.10658173431734651,0.10371355972932847,1.0,0.03125,0.0
27,178.0,128.0,3.8484848484848486,1.5636676842842308,0.05387205387205387,0.003367003367003367,0.04089382164563917,0.10047072698390025,0.12631255895115834,1.0,0.0,0.0
28,186.0,140.0,4.0033670033670035,1.5450547079290473,0.030303030303030304,0.006734006734006734,0.03770019292876101,0.09511742893496059,0.11446441167171609,1.0,0.0625,0.0
29,196.0,142.0,4.040404040404041,1.6138240671088142,0.04040404040404041,0.016835016835016835,0.037095659511167785,0.10383192212076532,0.12045677439094216,1.0,0.09375,0.0
30,192.0,137.0,4.053872053872054,1.6647848438228832,0.04040404040404041,0.026936026936026935,0.04231261329712987,0.11521273301811805,0.14387484500434328,1.0,0.03125,0.0
31,183.0,136.0,3.9124579124579126,1.530524332729514,0.04040404040404041,0.0,0.04037110086349386,0.12066395234539887,0.11036925444438439,1.0,0.03125,0.0
32,185.0,133.0,3.9562289562289563,1.550964700802246,0.04040404040404041,0.006734006734006734,0.03927668353851306,0.10119723660471569,0.08521191098823905,1.0,0.03125,0.0
33,187.0,130.0,3.9966329966329965,1.658562755559788,0.04713804713804714,0.016835016835016835,0.04210654084202536,0.1082076294624806,0.12843222234123106,1.0,0.0,0.0
34,203.0,149.0,4.121212121212121,1.5887190312927573,0.03367003367003367,0.020202020202020204,0.04195773773220038,0.10396162894627664,0.12202718937904308,1.0,0.0625,0.0
35,190.0,142.0,4.016835016835016,1.6906514841309024,0.04377104377104377,0.013468013468013467,0.03801669112981993,0.11850742556212829,0.1059716294937918,1.0,0.0625,0.0
36,190.0,130.0,4.151515151515151,1.5528639970083584,0.03367003367003367,0.003367003367003367,0.036334654504412894,0.09661107639265594,0.09545990918166121,1.0,0.03125,0.0
37,184.0,128.0,4.0673400673400675,1.676389015158907,0.06734006734006734,0.006734006734006734,0.04218925854283051,0.11231662175629759,0.12583815167680817,1.0,0.03125,0.0
38,178.0,123.0,3.9966329966329965,1.652461313897562,0.05387205387205387,0.016835016835016835,0.04754116181342115,0.1258123145734105,0.08484443009119047,1.0,0.03125,0.0
