metric,paper_value,fresh_value,fresh_minus_paper,absolute_difference
word_types,188.54,188.411,-0.12899999999999068,0.12899999999999068
hapax_legomena,136.17,136.028,-0.1419999999999959,0.1419999999999959
mean_word_length,4.0186,4.01826936026936,-0.0003306397306399589,0.0003306397306399589
word_length_sd,1.6186,1.6193038616614208,0.0007038616614207793,0.0007038616614207793
one_character_rate,0.0446,0.04452525252525252,-7.474747474747745e-05,7.474747474747745e-05
eight_plus_rate,0.0117,0.011693602693602693,-6.397306397306832e-06,6.397306397306832e-06
bigram_jsd,0.03892,0.03898054599993121,6.0545999931209404e-05,6.0545999931209404e-05
trigram_jsd,0.10608,0.10608769254975516,7.692549755161648e-06,7.692549755161648e-06
word_boundary_jsd,0.11462,0.11375889901035047,-0.0008611009896495325,0.0008611009896495325
paragraph_start_gallows,1.0,1.0,0.0,0.0
neutral_restart_gallows,0.0277,0.02878125,0.0010812500000000023,0.0010812500000000023
